NameGoods	Pins	TypeAssembly_id	Description
RC0402JR-0710KL (0402 10 кОм ±5% 50 В)	2	1	резистор
WSL1206R1500FEA (1206 150 мОм ±1%)	2	1	резистор
RC0603JR-07330RL (0603 330 Ом ±5% 50 В)	2	1	резистор
RC0603JR-0713RL (0603 13 Ом ±5% 50 В)	2	1	резистор
RC0402JR-0768KL (0402 68 кОм ±5% 50 В)	2	1	резистор
RC0402JR-0720KL (0402 20 кОм ±5% 50 В)	2	1	резистор
RC0402JR-071ML (0402 1 МОм ±5% 50 В)	2	1	резистор
RC0402JR-0782KL (0402 82 кОм ±5% 50 В)	2	1	резистор
RC0603JR-07820RL (0603 820 Ом ±5% 50 В)	2	1	резистор
RC0603JR-070RL (0603 0 Ом ±5% 50 В)	2	1	резистор
RC0402JR-07150KL (0402 150 кОм ±5% 50 В)	2	1	резистор
RC0603JR-07150KL (0603 150 кОм ±5% 50 В)	2	1	резистор
RC0603JR-07430KL (0603 430 кОм ±5% 50 В)	2	1	резистор
RC0603JR-07160RL (0603 160 Ом ±5% 50 В)	2	1	резистор
RC0402JR-074K7L (0402 4,7 кОм ±5% 50 В)	2	1	резистор
QTLP600C4TR	2	1	диод
PTD0075A	2	1	диод
TLMO1000-GS08	2	1	светодиод
SK32A	2	1	диод
MMBT3904-7-F	6	1	транзистор
DBPC103A056-130	16	2	разъем
PLS2-4	4	2	разъем
RC0603JR-071MRL (0603 1Mom+_5%)	2	1	резистор
PGB1010402TR	10	1	транзистор
